Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PHL,2001-04-01,2001-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2001,2001,,52.143750,A,base year is 2015
PHL,2002-04-01,2002-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2002,2002,,53.498971,A,base year is 2015
PHL,2003-04-01,2003-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2003,2003,,53.886177,A,base year is 2015
PHL,2004-04-01,2004-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2004,2004,,56.532085,A,base year is 2015
PHL,2005-04-01,2005-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2005,2005,,60.533215,A,base year is 2015
PHL,2006-04-01,2006-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2006,2006,,64.018069,A,base year is 2015
PHL,2007-04-01,2007-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2007,2007,,65.954099,A,base year is 2015
PHL,2008-04-01,2008-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2008,2008,,73.633686,A,base year is 2015
PHL,2009-04-01,2009-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2009,2009,,79.764449,A,base year is 2015
PHL,2010-04-01,2010-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2010,2010,,82.668495,A,base year is 2015
PHL,2011-04-01,2011-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2011,2011,,87.895776,A,base year is 2015
PHL,2012-04-01,2012-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2012,2012,,89.767992,X,base year is 2015
PHL,2013-04-01,2013-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2013,2013,,91.577830,X,base year is 2015
